Minamata  (1280,3519)  (1258,3626)  (1328,3626)  (1188,3626)  (1188,3696)  (1258,3696)  (1328,3696)  (1188,3766)  (1258,3766)  (1328,3766)  (1190,3768)  | overflowToLeft=false
Ibraki Coast  (9746,3122)  (9816,3122)  (9676,3122)  (9676,3192)  (9746,3192)  (9816,3192)  (9676,3262)  (9746,3262)  (9816,3262)  (9676,3312)  (9746,3312)  (9816,3312)  (9676,3382)  (9746,3822)  (9816,3822)  (9678,3384)     | overflowToLeft=false
Odani  (4718,2465)  (4694,2573)  (4764,2573)  (4624,2573)  (4624,2643)  (4694,2643)  (4764,2643)  (4624,2713)  (4694,2713)  (4764,2713)  (4626,2715)  | overflowToLeft=false
Miki (6696,2627) (6665,2730) (6735,2730)  (6595,2730)  (6595,2800) (6665,2800) (6735,2800)  (6595,2870) (6665,2870) (6735,2870)  (6597,2872)  | overflowToLeft=false  
Jeolla-Gangwon pass  (560,154)  (332,303)  (402,303)  (332,233)  (402,233)  (332,373)  (402,373)  | overflowToLeft=false
Shimo Sea  (770,3845)  (840,3845)  (700,3845)  (700,3915)  (770,3915)  (840,3915)  (700,3985)  (770,3985)  (840,3985)  (700,4055)  (770,4055)  (840,4055)  (700,4125)  (770,4125)  (840,4125)  (630,3845)  (630,3915)  (630,3985)  (630,4055)  (630,4125)  (632,4127) | overflowToLeft=false
Hyogo-Tsu  (4851,3487)  (1749,6127)  (4818,3593)  (4888,3593)  (4748,3593)  (4748,3663)  (4818,3663)  (4888,3663)  (4748,3733)  (4818,3733)  (4888,3733)  (4750,3735) | overflowToLeft=false    
Sakai  (5006,4154)  (1921,6126)  (4971,4261)  (5041,4261)  (4901,4261)  (4901,4331)  (4971,4331)  (5041,4331)  (4901,4401)  (4971,4401)  (5041,4401)   (4903,4403)| overflowToLeft=false 
Hagi  (2979,1597)  (2946,1704)  (3016,1704)  (2876,1704)  (2876,1774)  (2946,1774)  (3016,1774)  (2876,1844)  (2946,1844)  (3016,1844)  (2878,1846) | overflowToLeft=false 
Hiroshima  (3319,2655)  (3285,2760)  (3355,2760)  (3215,2760)  (3215,2830)  (3285,2830)  (3355,2830)  (3215,2900)  (3285,2900)  (3355,2900)   (3217,2902) | overflowToLeft=false 
Himeij  (4594,3129)  (4559,3235)  (4629,3235)  (4489,3235)  (4489,3305)  (4559,3305)  (4629,3305)   (4489,3375)  (4559,3375)  (4629,3375)  (4491,3377)  | overflowToLeft=false 
